UPN,Top_Y,Top_X,Top_Z
12782,0,0,0
22155,0,0,0
39647,0,0,0
12799,0,0,0
22154,0,0,0
39646,0,0,0
46516,0,0,0
22153,0,0,0
45091,0,0,0
12814,0,0,0
22152,0,0,0
12800,0,0,0
22151,0,0,0
12828,0,0,0
29542,0,0,0
47222,0,0,0
12827,0,0,0
29541,0,0,0
22212,0,0,0
12826,0,0,0
29540,0,0,0
22244,0,0,0
12825,0,0,0
29539,0,0,0
22245,0,0,0
12824,0,0,0
29538,0,0,0
22246,0,0,0
39587,0,0,0
29537,0,0,0
22338,365953.845036,2261032.241962,897.9937557
39586,0,0,0
22337,365927.257983,2261032.244878,897.36815701
44921,0,0,0
22336,365900.644131,2261032.233685,896.5119225
29536,0,0,0
30399,0,0,0
22335,365874.08985,2261032.1822055,895.98891524
29535,0,0,0
30398,0,0,0
44756,365847.50165,2261032.3083955,895.3480476
47828,0,0,0
30397,0,0,0
44708,365797.634794,2261032.212715,893.4894414
29534,0,0,0
30396,0,0,0
22278,365771.1064095,2261032.1956085,892.87066105
29533,0,0,0
30395,0,0,0
22306,365744.44715,2261032.253586,892.30172492
29532,0,0,0
30394,0,0,0
22305,365717.81924,2261032.22907,892.00139549
30393,0,0,0
22304,365691.2749625,2261032.166345,891.146261
30392,0,0,0
29531,0,0,0
22303,0,0,0
47765,0,0,0
29530,365953.865436,2261324.796434,903.27200464
22302,0,0,0
30391,0,0,0
29591,365927.2399725,2261324.80947,903.05652604
22301,0,0,0
30390,0,0,0
29624,365900.6026925,2261324.7382345,902.75942242
22300,0,0,0
30389,0,0,0
29718,365874.1073405,2261324.7658365,902.1130398
47190,0,0,0
30402,0,0,0
45384,365847.53184,2261324.736395,901.27780268
22299,0,0,0
30419,365953.7013425,2261539.280855,902.1777577
22298,0,0,0
30434,365927.228314,2261539.27635,901.59819585
22297,0,0,0
43664,365797.509485,2261324.79253,899.1712262
30420,365900.6600555,2261539.2442365,901.31828679
22296,0,0,0
13178,365770.8514,2261324.7654665,898.76812197
30448,365874.029078,2261539.26693,901.30728896
22295,0,0,0
13177,365744.195775,2261324.74893,898.634191
44922,365847.463581,2261539.305423,901.1638292
22294,0,0,0
13176,365717.669905,2261324.747002,898.47171648
43674,365797.4986695,2261539.2489865,899.71490496
22307,0,0,0
13175,365691.170282,2261324.76469,898.19002112
12823,365771.04927,2261539.33586,899.0787936
41087,0,0,0
13174,0,0,0
12822,365744.441622,2261539.306692,898.4758894
41086,0,0,0
12821,365717.793594,2261539.357486,897.84024202
44709,365797.6310925,2261051.659685,894.24028408
12820,365691.12729,2261539.261252,897.37693236
13173,0,0,0
22258,365770.924051,2261051.772637,893.38845598
12819,0,0,0
13172,0,0,0
22257,365744.46929,2261051.684275,892.7091282
12818,0,0,0
13171,0,0,0
22256,365717.8903,2261051.690468,892.13135474
12817,0,0,0
46528,0,0,0
22255,365691.220975,2261051.7017125,891.63986207
12816,0,0,0
13170,0,0,0
22254,0,0,0
46501,0,0,0
13169,0,0,0
22253,0,0,0
12829,0,0,0
13168,0,0,0
22252,0,0,0
13167,0,0,0
12815,0,0,0
13166,0,0,0
22251,0,0,0
12813,0,0,0
13179,0,0,0
47205,0,0,0
12812,0,0,0
13165,0,0,0
22250,0,0,0
12811,0,0,0
39645,0,0,0
22249,0,0,0
12810,0,0,0
39644,0,0,0
22248,0,0,0
12809,0,0,0
45395,0,0,0
22247,0,0,0
29701,0,0,0
22260,0,0,0
29700,0,0,0
39585,0,0,0
22277,0,0,0
29699,0,0,0
39584,0,0,0
22292,0,0,0
29698,0,0,0
44585,0,0,0
41035,0,0,0
29697,0,0,0
8415,0,0,0
41088,0,0,0
29696,0,0,0
8414,0,0,0
44762,365797.625509,2261071.100218,895.06961726
8413,0,0,0
29695,0,0,0
22273,365771.020225,2261071.2197875,894.11885454
8412,0,0,0
8411,0,0,0
22272,365744.4005215,2261071.172352,893.3477068
8472,0,0,0
