UPN,Bot_Y,Bot_X,Bot_Z
22299,0,0,0
30419,365953.74045,2261539.2829655,897.9488
22298,0,0,0
30434,365927.195145,2261539.270261,897.442389
22297,0,0,0
43664,365797.540456,2261324.791328,894.978435
30420,365900.625953,2261539.2662735,897.073724
22296,0,0,0
13178,365770.890909,2261324.759461,894.5301
30448,365874.026497,2261539.277929,897.075
22295,0,0,0
13177,365744.237423,2261324.759082,894.403839
44922,365847.431135,2261539.286579,897.030505
22294,0,0,0
13176,365717.6700085,2261324.7681105,894.22572
43674,365797.547834,2261539.25807,895.570008
22307,0,0,0
13175,365691.162054,2261324.771219,893.8801
12823,365770.981325,2261539.307435,894.900024
41087,0,0,0
13174,0,0,0
12822,365744.377701,2261539.2479215,894.299232
41086,0,0,0
12821,365717.793898,2261539.336252,893.713709
44709,365797.5761605,2261051.698874,890.037438
12820,365691.150664,2261539.280424,893.086397
13173,0,0,0
22258,365770.9352,2261051.75985,889.234576
12819,0,0,0
13172,0,0,0
22257,365744.4467135,2261051.702942,888.530805
12818,0,0,0
13171,0,0,0
22256,365717.851894,2261051.684231,887.932716
12817,0,0,0
46528,0,0,0
22255,365691.2047245,2261051.702282,887.29144
12816,0,0,0
13170,0,0,0
22254,0,0,0
46501,0,0,0
13169,0,0,0
22253,0,0,0
12829,0,0,0
13168,0,0,0
22252,0,0,0
13167,0,0,0
12815,0,0,0
13166,0,0,0
22251,0,0,0
12813,0,0,0
13179,0,0,0
47205,0,0,0
12812,0,0,0
13165,0,0,0
22250,0,0,0
12811,0,0,0
39645,0,0,0
22249,0,0,0
12810,0,0,0
39644,0,0,0
22248,0,0,0
12809,0,0,0
45395,0,0,0
22247,0,0,0
29701,0,0,0
22260,0,0,0
29700,0,0,0
39585,0,0,0
22277,0,0,0
29699,0,0,0
39584,0,0,0
22292,0,0,0
29698,0,0,0
44585,0,0,0
41035,0,0,0
29697,0,0,0
8415,0,0,0
41088,0,0,0
29696,0,0,0
8414,0,0,0
44762,365797.5680985,2261071.173347,890.769198
8413,0,0,0
29695,0,0,0
22273,365770.998984,2261071.230976,889.842346
8412,0,0,0
8411,0,0,0
22272,365744.408784,2261071.198442,889.107958
8472,0,0,0
29694,0,0,0
22271,365717.834651,2261071.2205405,888.202452
8504,0,0,0
47783,0,0,0
22270,365691.1675265,2261071.2155305,887.6604
8505,0,0,0
29693,0,0,0
22269,0,0,0
46175,0,0,0
29692,0,0,0
22268,0,0,0
8506,0,0,0
29691,0,0,0
22267,0,0,0
8598,0,0,0
29690,0,0,0
22266,0,0,0
8597,0,0,0
47206,0,0,0
39128,0,0,0
22265,0,0,0
29689,365953.80413,2261344.29244,898.898282
39127,365966.820804,2261227.272876,898.488822
22264,0,0,0
29702,365927.24688,2261344.30926,898.93087
44584,0,0,0
22263,0,0,0
29719,365900.5926165,2261344.3042135,898.579152
8426,0,0,0
22262,0,0,0
29734,365874.03625,2261344.32535,898.103164
8439,0,0,0
22275,0,0,0
44882,365847.482384,2261344.358108,897.2105
8425,0,0,0
22261,0,0,0
43665,365797.533691,2261344.3266155,895.56815
8423,0,0,0
22259,0,0,0
8422,0,0,0
41034,0,0,0
8421,0,0,0
13163,365771.022208,2261344.306404,895.066055
41100,0,0,0
8420,0,0,0
13162,365744.3047355,2261344.3263965,894.879232
44761,365797.5779925,2261090.6952035,891.26057
8419,0,0,0
13161,365717.6652395,2261344.354623,894.877486
22352,365770.9757705,2261090.6125945,890.362406
46190,0,0,0
13160,365691.1410135,2261344.2896155,894.533212
22351,365744.3991675,2261090.6977175,889.75143
8418,0,0,0
13159,0,0,0
22350,365717.9486625,2261090.7130125,888.91524
8417,0,0,0
13158,0,0,0
22349,365691.27785,2261090.74911,888.137
8416,0,0,0
22348,0,0,0
39131,0,0,0
22347,0,0,0
13157,0,0,0
39129,365966.776092,2261207.7841595,898.097008
22346,0,0,0
13156,0,0,0
44583,0,0,0
22345,0,0,0
46529,0,0,0
8437,0,0,0
47207,0,0,0
13155,0,0,0
8436,0,0,0
22344,0,0,0
13154,0,0,0
8435,0,0,0
22343,0,0,0
13153,0,0,0
8434,0,0,0
22310,0,0,0
8433,0,0,0
22340,0,0,0
8432,0,0,0
13152,0,0,0
22309,0,0,0
8431,0,0,0
13151,0,0,0
22276,0,0,0
8430,0,0,0
13164,0,0,0
22274,0,0,0
46189,0,0,0
13181,0,0,0
40978,0,0,0
8429,0,0,0
39643,0,0,0
41023,0,0,0
8428,0,0,0
39642,0,0,0
41351,365797.5672075,2261110.1876825,891.87466
8427,0,0,0
41350,365770.9779565,2261110.2179615,891.058904
39151,0,0,0
25267,365744.359153,2261110.191424,890.543147
44885,0,0,0
39150,365966.804692,2261188.2400215,897.817596
25295,365717.7258445,2261110.2042395,889.670841
29733,0,0,0
44582,0,0,0
25294,365691.274156,2261110.187068,888.828735
29732,0,0,0
8385,0,0,0
25293,0,0,0
29731,0,0,0
8384,0,0,0
25292,0,0,0
29730,0,0,0
8383,0,0,0
25291,0,0,0
29729,0,0,0
8382,0,0,0
25290,0,0,0
8381,0,0,0
47508,0,0,0
8380,0,0,0
29728,0,0,0
25289,0,0,0
8407,0,0,0
29727,0,0,0
25288,0,0,0
8408,0,0,0
29726,0,0,0
25287,0,0,0
46188,0,0,0
47785,0,0,0
25286,0,0,0
8409,0,0,0
29725,0,0,0
25285,0,0,0
8410,0,0,0
29724,0,0,0
25284,0,0,0
8438,0,0,0
25283,0,0,0
39172,0,0,0
41349,0,0,0
39152,365966.74198,2261168.714174,897.190948
41348,0,0,0
29723,0,0,0
44749,0,0,0
5475,0,0,0
29722,0,0,0
22143,0,0,0
5474,0,0,0
29721,365953.690475,2261363.847675,899.101782
22142,0,0,0
5473,0,0,0
29688,365927.132185,2261363.79645,899.03285
22141,0,0,0
5472,0,0,0
29687,365900.603752,2261363.778892,898.75727
22140,0,0,0
5471,0,0,0
29686,365873.9448045,2261363.798664,898.4556
5470,0,0,0
44886,365847.4612425,2261363.787235,898.231843
5469,0,0,0
22139,0,0,0
43666,365797.533378,2261363.8744105,896.125819
5468,0,0,0
22138,0,0,0
13196,365770.937194,2261363.80072,895.7208
5467,0,0,0
22137,0,0,0
13182,365744.387336,2261363.818674,895.501412
6088,0,0,0
22136,0,0,0
13210,365717.82433,2261363.80903,895.371537
5466,0,0,0
47219,0,0,0
13209,365691.190488,2261363.797736,894.952206
5465,0,0,0
22135,0,0,0
13208,0,0,0
5464,0,0,0
13207,0,0,0
5463,0,0,0
13206,0,0,0
22134,0,0,0
5462,365953.755842,2261129.764418,895.515108
13205,0,0,0
22133,0,0,0
5461,365927.177418,2261129.751996,895.137709
46530,0,0,0
22132,0,0,0
5460,365900.6200435,2261129.7744775,895.467901
13204,0,0,0
22131,365953.80329,2261051.75386,893.478525
5459,365874.017696,2261129.773428,895.961593
13203,0,0,0
22130,365927.1901605,2261051.8042325,892.908148
5436,365847.456812,2261129.72787,894.856424
13202,0,0,0
22129,365900.6815255,2261051.734693,892.454208
41347,365797.5787625,2261129.6994625,892.61332
13201,0,0,0
41346,365770.98021,2261129.69233,891.814172
13200,0,0,0
